index,Apple_Returns,Microsoft_Returns,Inflation_Change
2020-09-30,0.015075817337189878,0.014812313036765445,-0.10521930516201128
2020-10-31,-0.05601803676725625,-0.01099062133645956,-0.11764985105664194
2020-11-30,0.021099579723818485,-0.005389583236537598,-0.028455854536963643
2020-12-31,-0.00770266227938976,0.0033381450739804475,-0.05708766940271515
2021-01-31,-0.037420672550879,-0.029171723935880745,-0.1250113233762591
2021-02-28,0.002231589387552857,0.014804139918773718,0.003251535625877766
2021-03-31,0.018765638031693177,0.01690748328660785,0.13325737319793363
2021-04-30,-0.015133353311357345,-0.0013068789354876431,0.38749068995444524
2021-05-31,-0.00534802043422733,0.0014840961052504653,0.15996791879036465
2021-06-30,0.004621139881170633,-0.0018422991893883855,-0.0018261098592373681
2021-07-31,0.0015105740181271532,-0.005549738219895239,-0.0916867495783078
