DATE,GDP,GDP_standardized
1990-01-01,5872.701,-0.18119817951041003
1990-04-01,5960.028,-0.16952078940055187
1990-07-01,6015.116,-0.1621544071090285
1990-10-01,6004.733,-0.16354282468332576
1991-01-01,6035.178,-0.15947171103125218
1991-04-01,6126.862,-0.14721170170043543
1991-07-01,6205.937,-0.13663777126727011
1991-10-01,6264.54,-0.12880136222301097
1992-01-01,6363.102,-0.11562162486792223
1992-04-01,6470.763,-0.10122516676656255
1992-07-01,6566.641,-0.08840433461896817
1992-10-01,6680.803,-0.07313856103552174
1993-01-01,6729.459,-0.06663226752738272
1993-04-01,6808.939,-0.056004180384442624
1993-07-01,6882.098,-0.04622133907480063
1993-10-01,7013.738,-0.028618402593967352
1994-01-01,7115.652,-0.014990434890323824
1994-04-01,7246.931,0.002564228572660817
1994-07-01,7331.075,0.01381598705977139
1994-10-01,7455.288,0.03042578308752689
1995-01-01,7522.289,0.03938517496805189
1995-04-01,7580.997,0.047235624640771176
1995-07-01,7683.125,0.06089220848241909
1995-10-01,7772.586,0.07285495765069488
1996-01-01,7868.468,0.08567632467937344
1996-04-01,8032.84,0.10765619307216838
1996-07-01,8131.408,0.12083673274888347
1996-10-01,8259.771,0.1380014679014906
1997-01-01,8362.655,0.15175914426805126
1997-04-01,8518.825,0.17264223899770584
1997-07-01,8662.823,0.1918976905881572
1997-10-01,8765.907,0.20568211100892742
1998-01-01,8866.48,0.2191307598290949
1998-04-01,8969.699,0.23293323248645698
1998-07-01,9121.097,0.25317821408266766
1998-10-01,9293.991,0.27629764662533846
1999-01-01,9411.682,0.2920353190453154
1999-04-01,9526.21,0.3073500342479653
1999-07-01,9686.626,0.32880090524849226
1999-10-01,9900.169,0.35735593308901614
2000-01-01,10002.179,0.3709967379386804
2000-04-01,10247.72,0.4038305470122162
2000-07-01,10318.165,0.4132504715062327
2000-10-01,10435.744,0.428973167255852
2001-01-01,10470.231,0.4335847782435038
2001-04-01,10599.0,0.4508038038261566
2001-07-01,10598.02,0.4506727579605291
2001-10-01,10660.465,0.45902292028615677
2002-01-01,10783.5,0.47547519383461706
2002-04-01,10887.46,0.48937675321282587
2002-07-01,10984.04,0.5022914569906965
2002-10-01,11061.433,0.5126404699279583
2003-01-01,11174.129,0.5277102095940475
2003-04-01,11312.766,0.5462487868114073
2003-07-01,11566.669,0.5802007647914514
2003-10-01,11772.234,0.60768897230955
2004-01-01,11923.447,0.6279092156556167
2004-04-01,12112.815,0.6532315559435417
2004-07-01,12305.307,0.6789716383582223
2004-10-01,12527.214,0.7086451025457964
2005-01-01,12767.286,0.7407475954569677
2005-04-01,12922.656,0.7615237139697835
2005-07-01,13142.642,0.7909403015166733
2005-10-01,13324.204,0.815218821368793
2006-01-01,13599.16,0.8519860122152225
2006-04-01,13753.424,0.8726142361082586
2006-07-01,13870.188,0.8882279498369733
2006-10-01,14039.56,0.910876419585011
2007-01-01,14215.651,0.934423355834224
2007-04-01,14402.082,0.9593529596860793
2007-07-01,14564.117,0.9810203238054337
